"candidate_name","office","district","party","tot_con","individual_unitemized","cash_on_hand"
"PINGREE, CHELLIE M","House","01","DEMOCRATIC PARTY",429634.08,69003.1,423112.34
"RUSSELL, RONALD CHARLES","House","01","REPUBLICAN PARTY",90097.85,7613.39,20022.75
"ROBERTS, TIFFANY DANIELLE","House","01","DEMOCRATIC PARTY",20051.24,2807.66,5070.73
"PIETROWICZ, JOSHUA JAMES","House","01","REPUBLICAN PARTY",13584.8,3999.3,2.67
"SMALL, ERIC","House","01","REPUBLICAN PARTY",12514.0,2186.0,0
"DUPREY, JOSHUA JAMES","House","01","REPUBLICAN PARTY",0,0,0
"PIANTIDOSI, ANDREW","House","01","REPUBLICAN PARTY",0,0,0
"WOOD, JORDAN","House","02","DEMOCRATIC PARTY",6044820.45,3807712.21,197674.70
"GOLDEN, JARED","House","02","DEMOCRATIC PARTY",2758857.77,397838.91,397679.36
"LEPAGE, PAUL","House","02","REPUBLICAN PARTY",2442172.52,166825.94,1656011.24
"DUNLAP, MATT","House","02","DEMOCRATIC PARTY",1205431.88,646576.40,228649.15
"BALDACCI, JOSEPH","House","02","DEMOCRATIC PARTY",664202.98,61515.74,20125.28
"LOUD, PAIGE","House","02","DEMOCRATIC PARTY",60562.21,7936.18,4310.41
"CLARK, JAMES L.","House","02","REPUBLICAN PARTY",550.0,50.0,550.0
"SIGEL, LOUIS","House","02","DEMOCRATIC PARTY",0,0,0
"PLATNER, GRAHAM","Senate","00","DEMOCRATIC PARTY",21050419.38,11786278.68,1763058.12
"COLLINS, SUSAN M.","Senate","00","REPUBLICAN PARTY",19144513.72,1633757.57,11038115.42
"MILLS, JANET TRAFTON","Senate","00","DEMOCRATIC PARTY",6063106.45,1844987.89,102783.47
"KLEBAN, DAN","Senate","00","DEMOCRATIC PARTY",458786.42,49349.58,86.50
"RODRIGUEZ, DAIRA","Senate","00","DEMOCRATIC PARTY",242582.34,6789.0,0
"COSTELLO, DAVID","Senate","00","DEMOCRATIC PARTY",154376.98,19997.76,18122.51
"RENCH, PHILLIP","Senate","00","INDEPENDENT",55499.8,1063.93,8047.8
"CALABRESE, CARMEN VINCENT","Senate","00","REPUBLICAN PARTY",17759.71,0,-3500.0
"FAVREAU, TUCKER","Senate","00","DEMOCRATIC PARTY",13599.1,1036.0,7.13
"LAFLAMME, ANDREA","Senate","00","DEMOCRATIC PARTY",16254.49,193.96,10043.16
"EVANS, DAVID ALAN","Senate","00","INDEPENDENT",6436.72,605.0,0
"ALCALA, NATASHA","Senate","00","DEMOCRATIC PARTY",0,0,0
"RICH, TIMOTHY","Senate","00","UNAFFILIATED",0,0,0
"ALCORN, ETHAN WELD","Senate","00","UNAFFILIATED",0,0,0
"SMERIGLIO, DANIEL C","Senate","00","REPUBLICAN PARTY",0,0,0
