"candidate_name","office","district","purpose","total"
"CALABRESE, CARMEN VINCENT MR.","Senate","00","OTHER",19664.19
"COLLINS, SUSAN M.","Senate","00","OTHER",1656599.34
"COLLINS, SUSAN M.","Senate","00","ADMINISTRATIVE",124681.74
"COLLINS, SUSAN M.","Senate","00","REFUNDS",86127.11
"COLLINS, SUSAN M.","Senate","00","TRAVEL",25977.44
"COLLINS, SUSAN M.","Senate","00","FUNDRAISING",23284.71
"COLLINS, SUSAN M.","Senate","00","ADVERTISING",10991.25
"COLLINS, SUSAN M.","Senate","00","MATERIALS",723
"COSTELLO, DAVID","Senate","00","OTHER",10330.77
"COSTELLO, DAVID","Senate","00","MATERIALS",1194.9
"DUNLAP, MATT","House","02","OTHER",356591.98
"DUNLAP, MATT","House","02","ADMINISTRATIVE",50243.64
"DUNLAP, MATT","House","02","LOAN-REPAYMENTS",10000
"DUNLAP, MATT","House","02","ADVERTISING",5424.16
"DUNLAP, MATT","House","02","REFUNDS",2010
"EVANS, DAVID ALAN","Senate","00","OTHER",1411
"FAVREAU, TUCKER","Senate","00","OTHER",8409.72
"FAVREAU, TUCKER","Senate","00","ADMINISTRATIVE",71.42
"GOLDEN, JARED","House","02","OTHER",1304141.06
"GOLDEN, JARED","House","02","REFUNDS",717163.32
"GOLDEN, JARED","House","02","FUNDRAISING",201612.18
"GOLDEN, JARED","House","02","ADMINISTRATIVE",165866.02
"GOLDEN, JARED","House","02","CONTRIBUTIONS",32000
"GOLDEN, JARED","House","02","TRAVEL",10778.24
"GOLDEN, JARED","House","02","ADVERTISING",7913.75
"GOLDEN, JARED","House","02","MATERIALS",3000
"KLEBAN, DAN","Senate","00","OTHER",448883.98
"KLEBAN, DAN","Senate","00","ADVERTISING",1e+05
"KLEBAN, DAN","Senate","00","REFUNDS",36500
"KLEBAN, DAN","Senate","00","ADMINISTRATIVE",3054.76
"LAFLAMME, ANDREA","Senate","00","OTHER",1688.06
"LEPAGE, PAUL","House","02","OTHER",271162.48
"LEPAGE, PAUL","House","02","FUNDRAISING",54542.38
"LEPAGE, PAUL","House","02","ADMINISTRATIVE",19488.02
"LEPAGE, PAUL","House","02","ADVERTISING",17998.02
"LEPAGE, PAUL","House","02","MATERIALS",5600.47
"LEPAGE, PAUL","House","02","TRANSFERS",5505.39
"LEPAGE, PAUL","House","02","CONTRIBUTIONS",1201
"LEPAGE, PAUL","House","02","TRAVEL",886.85
"MILLS, JANET TRAFTON","Senate","00","OTHER",3923002.33
"MILLS, JANET TRAFTON","Senate","00","ADMINISTRATIVE",625358.37
"MILLS, JANET TRAFTON","Senate","00","FUNDRAISING",236251.46
"MILLS, JANET TRAFTON","Senate","00","ADVERTISING",68497.58
"MILLS, JANET TRAFTON","Senate","00","REFUNDS",42292.38
"MILLS, JANET TRAFTON","Senate","00","TRAVEL",14744.87
"PIETROWICZ, JOSHUA JAMES","House","01","OTHER",2375.95
"PIETROWICZ, JOSHUA JAMES","House","01","ADMINISTRATIVE",456.28
"PINGREE, CHELLIE M","House","01","OTHER",175662.78
"PINGREE, CHELLIE M","House","01","CONTRIBUTIONS",121000
"PINGREE, CHELLIE M","House","01","ADMINISTRATIVE",11572.39
"PINGREE, CHELLIE M","House","01","FUNDRAISING",7499.62
"PINGREE, CHELLIE M","House","01","TRAVEL",4090.96
"PINGREE, CHELLIE M","House","01","MATERIALS",3871.48
"PINGREE, CHELLIE M","House","01","REFUNDS",275
"PLATNER, GRAHAM","Senate","00","OTHER",6102016.71
"PLATNER, GRAHAM","Senate","00","ADVERTISING",2939918.75
"PLATNER, GRAHAM","Senate","00","FUNDRAISING",391099.52
"PLATNER, GRAHAM","Senate","00","ADMINISTRATIVE",92844.59
"PLATNER, GRAHAM","Senate","00","REFUNDS",40407
"PLATNER, GRAHAM","Senate","00","MATERIALS",10500
"PLATNER, GRAHAM","Senate","00","TRAVEL",6441.31
"RENCH, PHILLIP","Senate","00","OTHER",53363.49
"RENCH, PHILLIP","Senate","00","REFUNDS",3827.04
"RENCH, PHILLIP","Senate","00","ADMINISTRATIVE",2777.93
"RENCH, PHILLIP","Senate","00","ADVERTISING",508.51
"ROBERTS, TIFFANY DANIELLE","House","01","OTHER",7503.76
"RODRIGUEZ, DAIRA","Senate","00","LOAN-REPAYMENTS",160000
"RODRIGUEZ, DAIRA","Senate","00","OTHER",51963.34
"RODRIGUEZ, DAIRA","Senate","00","ADMINISTRATIVE",23000
"RODRIGUEZ, DAIRA","Senate","00","MATERIALS",2615.15
"RUSSELL, RONALD CHARLES MR.","House","01","OTHER",10882.88
"RUSSELL, RONALD CHARLES MR.","House","01","ADMINISTRATIVE",10000
"RUSSELL, RONALD CHARLES MR.","House","01","ADVERTISING",222.14
"SMALL, ERIC","House","01","OTHER",10790.22
"SMALL, ERIC","House","01","REFUNDS",1250.33
"WOOD, JORDAN","House","02","OTHER",4078836.71
"WOOD, JORDAN","House","02","ADMINISTRATIVE",510801.66
"WOOD, JORDAN","House","02","FUNDRAISING",181052.58
"WOOD, JORDAN","House","02","ADVERTISING",67521.18
"WOOD, JORDAN","House","02","REFUNDS",46601.1
"WOOD, JORDAN","House","02","TRAVEL",23098.32
