candidate_name,filer_url,filing_name,filing_url,date_filed,report_type,reporting_period,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,total_mcea_payments,return_of_mcea_funds,balance_beginning,balance_end,debt_balance,unitemized_total
Russell P. White,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800xkb9rf7,42-Day Post-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800xkb9rf7/filings/d_01ky0p1x5gecsrwnv5zayxgne2,,Mcea Campaign Finance,"May 27, 2026 - July 14, 2026",,,,$0.00,"$6,625.00",$0.00,$675.00,"$7,300.00",$0.00,
Russell P. White,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800xkb9rf7,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800xkb9rf7/filings/d_01kstwkb8pfqmbdhf0zy6amh2r,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Russell P. White,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800xkb9rf7,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800xkb9rf7/filings/d_01kprs1emsf368m5vew3ntxksd,,Mcea Seed Money,"Unbounded - April 21, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Gary Friedmann,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrhbsjmej2b3nngc0pjyp3q,42-Day Post-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrhbsjmej2b3nngc0pjyp3q/filings/d_01ky2t8470env84tvr7px1w2by,,Mcea Campaign Finance,"May 27, 2026 - July 14, 2026",,,,$0.00,"$8,275.00",$0.00,$675.00,"$8,950.00",$0.00,
Gary Friedmann,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrhbsjmej2b3nngc0pjyp3q,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrhbsjmej2b3nngc0pjyp3q/filings/d_01ksqwy841f43t34gvhe5bgc22,,Mcea Campaign Finance,"May 19, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Gary Friedmann,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrhbsjmej2b3nngc0pjyp3q,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrhbsjmej2b3nngc0pjyp3q/filings/d_01kprhpb4eefj974j6t2t5pfwd,,Mcea Seed Money,"Unbounded - May 18, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Laurie Osher,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m1wzbfgsvdw68a98sd02h,42-Day Post-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m1wzbfgsvdw68a98sd02h/filings/d_01ky31k550efev8v4865vch6mk,,Mcea Campaign Finance,"May 27, 2026 - July 14, 2026",,,,$773.31,"$6,625.00",$0.00,$675.00,"$6,526.69",$0.00,
Laurie Osher,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m1wzbfgsvdw68a98sd02h,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m1wzbfgsvdw68a98sd02h/filings/d_01kt1jtszvennbz5wsf0jv0smk,,Mcea Campaign Finance,"May 22, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Laurie Osher,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m1wzbfgsvdw68a98sd02h,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7m1wzbfgsvdw68a98sd02h/filings/d_01ks4bhxhve6wrva66wmdc0g24,,Mcea Seed Money,"Unbounded - May 21, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Tiffany Strout,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8024cmt5q8,42-Day Post-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8024cmt5q8/filings/d_01kxew73ype1eteed77z24jrph,,Mcea Campaign Finance,"May 27, 2026 - July 14, 2026",,,,$259.45,"$6,625.00",$0.00,$675.87,"$7,041.42",$0.00,
